;Ubah Status Verifikasi;23/01/2013 08:45:51; (30622);
;Ubah Status Verifikasi;23/01/2013 08:45:54; (30623);
FP-1;Insert data user;23/01/2013 08:45:57;966255513 ();
;Ubah Status Verifikasi;23/01/2013 08:45:58; (30625);
;Ubah data;23/01/2013 08:46:19; (99);
963234559;Insert Data Faktur Penjualan dgn Pemebeli BTPN KCP BIMA;23/01/2013 08:47:15; di Nopend 84100;
961196063;Insert Data Faktur Penjualan dgn Pemebeli KSP NASARI ;23/01/2013 08:50:12; di Nopend 68200;
;Ubah data perusahaan;23/01/2013 09:05:40; ();
963234559;Insert Data Faktur Penjualan dgn Pemebeli INKOPABRI BIMA;23/01/2013 09:14:56; di Nopend 84100;
963234559;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI PP POLRI;23/01/2013 09:16:49; di Nopend 84100;
969293136;Insert Data Faktur Penjualan dgn Pemebeli KOPNUS;23/01/2013 09:18:01; di Nopend 29100;
963234559;Insert Data Faktur Penjualan dgn Pemebeli LUMBUNG KREDIT PEDESAAN (LKP);23/01/2013 09:18:50; di Nopend 84100;
969293136;Ubah Data Faktur Penjualan 010.000-13.00000368;23/01/2013 09:18:58; di Nopend 29100 dengan id (30633);
969293136;Ubah Data Faktur Penjualan 010.000-13.00000368;23/01/2013 09:19:26; di Nopend 29100 dengan id (30633);
969293136;Insert Data Faktur Penjualan dgn Pemebeli BANK BTPN CABANG TANJUNGPINANG;23/01/2013 09:22:51; di Nopend 29100;
963234559;Insert Data Faktur Penjualan dgn Pemebeli KSP ARTHA MITRA SEJAHTERA;23/01/2013 09:22:55; di Nopend 84100;
;Insert data pegawai;23/01/2013 09:23:09; ();
969293136;Ubah Data Faktur Penjualan 010.000-13.00000370;23/01/2013 09:23:25; di Nopend 29100 dengan id (30635);
;Insert data pegawai;23/01/2013 09:23:55; ();
963234559;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI INVES;23/01/2013 09:23:58; di Nopend 84100;
;Ubah data pegawai;23/01/2013 09:24:14; (387);
969293136;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI  ABDI  KARYA;23/01/2013 09:25:58; di Nopend 29100;
;Insert data pegawai;23/01/2013 09:26:05; ();
FP-1;Ubah data user;23/01/2013 09:27:30;974358423 ();
FP-1;Insert data user;23/01/2013 09:28:06;964214842 ();
961196063;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;23/01/2013 09:28:22; di Nopend 68200;
FP-1;Insert data user;23/01/2013 09:28:42;971320378 ();
961196063;Ubah Data Faktur Penjualan 010.000-13.00000374;23/01/2013 09:28:55; di Nopend 68200 dengan id (30639);
968238361;Insert Data Faktur Penjualan dgn Pemebeli DINAS PENDIDIKAN KABUPATEN INRAGIRI HILIR;23/01/2013 09:29:08; di Nopend 29200;
;Ubah data;23/01/2013 09:29:11; (232);
;Ubah data;23/01/2013 09:29:21; (233);
968238361;Ubah Data Faktur Penjualan 020.000-13.00000375;23/01/2013 09:30:15; di Nopend 29200 dengan id (30640);
968238361;Ubah Data Faktur Penjualan 020.000-13.00000375;23/01/2013 09:31:13; di Nopend 29200 dengan id (30640);
;Ubah data pegawai;23/01/2013 09:32:16; (626);
968238361;Ubah Data Faktur Penjualan 020.000-13.00000375;23/01/2013 09:32:33; di Nopend 29200 dengan id (30640);
968238361;Ubah Data Faktur Penjualan 020.000-13.00000375;23/01/2013 09:32:40; di Nopend 29200 dengan id (30640);
;Ubah Status Verifikasi;23/01/2013 09:32:50; (30627);
;Ubah Status Verifikasi;23/01/2013 09:32:53; (30628);
;Insert data pegawai;23/01/2013 09:32:57; ();
961196063;Insert Data Faktur Penjualan dgn Pemebeli KSP Arta Mitra Surya;23/01/2013 09:33:18; di Nopend 68200;
;Ubah data pegawai;23/01/2013 09:33:26; (367);
;Ubah Status Verifikasi;23/01/2013 09:34:00; (30629);
;Ubah Status Verifikasi;23/01/2013 09:34:03; (30631);
;Ubah Status Verifikasi;23/01/2013 09:34:05; (30632);
;Ubah Status Verifikasi;23/01/2013 09:34:09; (30634);
;Ubah Status Verifikasi;23/01/2013 09:34:12; (30636);
;Ubah Status Verifikasi;23/01/2013 09:34:15; (30637);
968238361;Ubah Data Faktur Penjualan 020.000-13.00000375;23/01/2013 09:34:45; di Nopend 29200 dengan id (30640);
968238361;Ubah Data Faktur Penjualan 020.000-13.00000375;23/01/2013 09:36:27; di Nopend 29200 dengan id (30640);
969336100;Insert Data Faktur Penjualan dgn Pemebeli PT CIMB NIAGA BANDUNG;23/01/2013 09:37:34; di Nopend 57100;
961196063;Insert Data Faktur Penjualan dgn Pemebeli CNB;23/01/2013 09:37:38; di Nopend 68200;
FP-1;Ubah data user;23/01/2013 09:39:05;966281548 ();
FP-1;Ubah status data user;23/01/2013 09:39:10;422 (0);
FP-1;Insert data user;23/01/2013 09:39:37;970336135 ();
FP-1;Insert data user;23/01/2013 09:40:10;965301187 ();
;Ubah data;23/01/2013 09:40:35; (272);
