97112345;Insert Data Faktur Penjualan dgn Pemebeli BTPN LENGKONG;16/10/2012 07:39:42; di Nopend 40000;
;Insert data korek5;16/10/2012 17:32:37; ();
;Insert data korek5;16/10/2012 17:33:33; ();
;Insert data korek5;16/10/2012 17:34:27; ();
;Insert data korek5;16/10/2012 17:35:31; ();
;Insert data jnstransaksi;16/10/2012 17:44:50; ();
;Insert data jnstransaksi;16/10/2012 17:46:11; ();
;Insert data jnstransaksi;16/10/2012 17:47:13; ();
;Insert data jnstransaksi;16/10/2012 17:48:01; ();
;Ubah data jnstransaksi;16/10/2012 17:49:11; (630);
;Ubah data jnstransaksi;16/10/2012 17:52:03; (631);
;Ubah data jnstransaksi;16/10/2012 17:52:20; (632);
;Ubah data jnstransaksi;16/10/2012 17:52:38; (633);
;Ubah data jnstransaksi;16/10/2012 17:53:12; (633);
