;Ubah Status Verifikasi;26/02/2013 08:46:13; (33197);
;Ubah Status Verifikasi;26/02/2013 08:46:18; (33198);
;Ubah Status Verifikasi;26/02/2013 08:46:20; (33203);
;Ubah data;26/02/2013 08:46:23; (16);
;Ubah Status Verifikasi;26/02/2013 08:46:30; (33036);
;Ubah Status Verifikasi;26/02/2013 08:46:34; (33132);
;Ubah Status Verifikasi;26/02/2013 08:46:39; (33176);
;Ubah Status Verifikasi;26/02/2013 08:46:44; (33242);
;Ubah Status Verifikasi;26/02/2013 08:46:48; (33248);
967276068;Terkait PendapatanPT BANK TABUNGAN PENSIUN NASIONAL;26/02/2013 08:46:52; di Nopend 64400;
;Ubah Status Verifikasi;26/02/2013 08:46:55; (33251);
;Ubah Status Verifikasi;26/02/2013 08:47:00; (33256);
964195665;Insert Data Faktur Penjualan dgn Pemebeli BANK BUMI ARTHA;26/02/2013 08:47:01; di Nopend 12000;
971358140;Insert Data Faktur Penjualan dgn Pemebeli Bank BTPN  Cabang Yogyakarta;26/02/2013 08:47:04; di Nopend 55700;
976364372;Terkait PendapatanKoperasi Simpan Pinjam Usaha Mandiri;26/02/2013 08:47:07; di Nopend 17000;
;Ubah Status Verifikasi;26/02/2013 08:47:10; (33299);
;Ubah Status Verifikasi;26/02/2013 08:47:14; (33305);
;Ubah Status Verifikasi;26/02/2013 08:47:19; (33558);
;Ubah Status Verifikasi;26/02/2013 08:47:23; (33658);
;Ubah Status Verifikasi;26/02/2013 08:48:16; (32903);
;Ubah Status Verifikasi;26/02/2013 08:48:19; (32904);
;Ubah Status Verifikasi;26/02/2013 08:48:23; (32905);
;Ubah Status Verifikasi;26/02/2013 08:48:27; (32906);
;Ubah Status Verifikasi;26/02/2013 08:48:29; (32907);
;Ubah Status Verifikasi;26/02/2013 08:48:36; (32908);
;Ubah Status Verifikasi;26/02/2013 08:48:39; (32909);
967276068;Terkait PendapatanKSP Arta Mitra Surya;26/02/2013 08:48:39; di Nopend 64400;
;Ubah Status Verifikasi;26/02/2013 08:48:43; (32910);
;Ubah Status Verifikasi;26/02/2013 08:48:47; (32911);
;Ubah Status Verifikasi;26/02/2013 08:48:50; (32912);
;Ubah Status Verifikasi;26/02/2013 08:48:54; (32913);
;Ubah Status Verifikasi;26/02/2013 08:49:52; (33165);
967276068;Terkait PendapatanKSP Arta Mitra Surya;26/02/2013 08:49:53; di Nopend 64400;
;Ubah Status Verifikasi;26/02/2013 08:49:54; (33169);
;Ubah Status Verifikasi;26/02/2013 08:49:57; (33171);
;Ubah Status Verifikasi;26/02/2013 08:50:01; (33177);
;Ubah Status Verifikasi;26/02/2013 08:50:04; (33184);
;Ubah Status Verifikasi;26/02/2013 08:50:07; (33205);
;Ubah Status Verifikasi;26/02/2013 08:50:10; (33210);
;Ubah Status Verifikasi;26/02/2013 08:50:13; (33310);
964195665;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI SERBA USAHA DHARMA INTI TAPIAN;26/02/2013 08:50:19; di Nopend 12000;
;Ubah Status Verifikasi;26/02/2013 08:50:32; (33226);
;Ubah Status Verifikasi;26/02/2013 08:50:35; (33232);
;Ubah Status Verifikasi;26/02/2013 08:50:37; (33237);
;Ubah Status Verifikasi;26/02/2013 08:50:40; (33243);
;Ubah Status Verifikasi;26/02/2013 08:50:43; (33245);
;Ubah Status Verifikasi;26/02/2013 08:50:47; (33246);
983390733;Insert Data Faktur Penjualan dgn Pemebeli BANK TABUNGAN PENSIUNAN NASIONAL;26/02/2013 08:51:27; di Nopend 33100;
967276068;Terkait PendapatanKSP NASARI;26/02/2013 08:51:43; di Nopend 64400;
974357959;Insert Data Faktur Penjualan dgn Pemebeli PT BANK CNB;26/02/2013 08:51:47; di Nopend 61300;
973351895;Insert Data Faktur Penjualan dgn Pemebeli BANK CNB;26/02/2013 08:52:03; di Nopend 40900;
964195665;Insert Data Faktur Penjualan dgn Pemebeli KOP. SERBA USAHA NASARI;26/02/2013 08:52:45; di Nopend 12000;
976364372;Terkait PendapatanPT BPR GRACIA MANDIRI;26/02/2013 08:52:56; di Nopend 17000;
967276068;Terkait PendapatanKOPERASI NUSANTARA;26/02/2013 08:53:05; di Nopend 64400;
;Ubah Status Verifikasi;26/02/2013 08:53:27; (1112);
974357959;Insert Data Faktur Penjualan dgn Pemebeli BANK SYARIAH BUKOPIN;26/02/2013 08:53:31; di Nopend 61300;
976364372;Terkait PendapatanKoperasi KOSPPI;26/02/2013 08:54:19; di Nopend 17000;
