;Insert data;06/03/2013 06:51:52; ();
;Ubah data Gunggung;06/03/2013 06:54:18; ();
;Ubah data Gunggung;06/03/2013 07:03:17; ();
;Ubah data Gunggung;06/03/2013 07:05:30; ();
;Ubah data Gunggung;06/03/2013 07:08:38; ();
;Ubah data Gunggung;06/03/2013 07:12:47; ();
;Insert data;06/03/2013 07:17:27; ();
;Ubah data;06/03/2013 07:20:41; (11101);
;Ubah Status Verifikasi;06/03/2013 07:21:47; (11101);
;Ubah Status Verifikasi;06/03/2013 07:26:18; (34097);
;Ubah Status Verifikasi;06/03/2013 07:26:34; (34152);
;Ubah Status Verifikasi;06/03/2013 07:26:45; (34148);
;Ubah Status Verifikasi;06/03/2013 07:26:49; (34149);
;Ubah Status Verifikasi;06/03/2013 07:26:54; (34150);
;Ubah Status Verifikasi;06/03/2013 07:27:00; (34151);
;Ubah Status Verifikasi;06/03/2013 07:27:05; (34153);
;Ubah Status Verifikasi;06/03/2013 07:27:14; (34154);
;Ubah Status Verifikasi;06/03/2013 07:27:24; (34155);
;Ubah Status Verifikasi;06/03/2013 07:27:33; (34156);
;Ubah Status Verifikasi;06/03/2013 07:27:42; (34157);
;Ubah Status Verifikasi;06/03/2013 07:27:51; (34158);
;Ubah Status Verifikasi;06/03/2013 07:27:57; (34159);
;Ubah Status Verifikasi;06/03/2013 07:28:06; (34160);
;Ubah Status Verifikasi;06/03/2013 07:28:15; (34161);
;Ubah Status Verifikasi;06/03/2013 07:28:23; (34162);
;Ubah Status Verifikasi;06/03/2013 07:28:32; (34163);
;Ubah Status Verifikasi;06/03/2013 07:28:41; (34164);
;Ubah Status Verifikasi;06/03/2013 07:35:32; (35313);
;Ubah Status Verifikasi;06/03/2013 07:38:50; (35231);
;Ubah Status Verifikasi;06/03/2013 07:39:02; (35233);
;Ubah Status Verifikasi;06/03/2013 07:39:08; (35239);
;Ubah Status Verifikasi;06/03/2013 07:39:14; (35243);
;Ubah Status Verifikasi;06/03/2013 07:39:25; (35249);
;Ubah Status Verifikasi;06/03/2013 07:39:30; (35251);
;Ubah Status Verifikasi;06/03/2013 07:39:36; (35254);
;Ubah Status Verifikasi;06/03/2013 07:39:44; (35257);
;Ubah Status Verifikasi;06/03/2013 07:39:52; (35259);
;Ubah Status Verifikasi;06/03/2013 07:39:57; (35261);
;Ubah Status Verifikasi;06/03/2013 07:43:28; (40902);
;Ubah Status Verifikasi;06/03/2013 07:43:34; (40908);
;Ubah Status Verifikasi;06/03/2013 07:43:38; (40911);
;Ubah Status Verifikasi;06/03/2013 07:48:13; (39956);
;Ubah Status Verifikasi;06/03/2013 07:48:26; (39959);
;Ubah Status Verifikasi;06/03/2013 07:50:55; (34115);
969323426;Terkait BiayaKOPERASI KARYAWAN PT POS INDONESIA TEGAL;06/03/2013 07:52:01; di Nopend 52100;
;Ubah Status Verifikasi;06/03/2013 07:52:31; (34115);
971336222;Ubah Data Faktur Penjualan 010.000-13.00003847;06/03/2013 07:55:08; di Nopend 85500 dengan id (34115);
;Ubah Status Verifikasi;06/03/2013 07:55:34; (35313);
;Ubah Status Verifikasi;06/03/2013 07:55:38; (34979);
;Ubah Status Verifikasi;06/03/2013 07:56:01; (34976);
;Ubah Status Verifikasi;06/03/2013 07:56:03; (34980);
;Ubah Status Verifikasi;06/03/2013 07:56:12; (34966);
