;Ubah Status Verifikasi;27/02/2013 09:04:32; (972);
;Ubah Status Verifikasi;27/02/2013 09:04:44; (973);
;Ubah Status Verifikasi;27/02/2013 09:04:53; (974);
;Ubah Status Verifikasi;27/02/2013 09:05:04; (975);
;Ubah Status Verifikasi;27/02/2013 09:05:13; (976);
;Ubah Status Verifikasi;27/02/2013 09:05:22; (977);
;Ubah Status Verifikasi;27/02/2013 09:05:30; (978);
;Ubah Status Verifikasi;27/02/2013 09:05:37; (979);
;Ubah Status Verifikasi;27/02/2013 09:05:45; (980);
;Ubah Status Verifikasi;27/02/2013 09:05:54; (981);
;Ubah Status Verifikasi;27/02/2013 09:06:05; (982);
;Insert data;27/02/2013 09:09:27; ();
968270724;Insert Data Faktur Penjualan dgn Pemebeli BANK BTPN;27/02/2013 09:12:46; di Nopend 56200;
968270724;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;27/02/2013 09:15:39; di Nopend 56200;
968270724;Insert Data Faktur Penjualan dgn Pemebeli KSP PURNABAKTI;27/02/2013 09:17:25; di Nopend 56200;
968270724;Insert Data Faktur Penjualan dgn Pemebeli PT PBR INTAN SURYA;27/02/2013 09:18:36; di Nopend 56200;
968270724;Insert Data Faktur Penjualan dgn Pemebeli PT.Bank Himpunan Saudara.Tbk;27/02/2013 09:20:22; di Nopend 56200;
;Insert data;27/02/2013 09:20:45; ();
968270724;Insert Data Faktur Penjualan dgn Pemebeli PT BPR KUSUMA SUMBING;27/02/2013 09:22:09; di Nopend 56200;
968270724;Insert Data Faktur Penjualan dgn Pemebeli PT.BPR KEDU ARTHASETIA;27/02/2013 09:23:22; di Nopend 56200;
968270724;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NASARI;27/02/2013 09:25:04; di Nopend 56200;
968270724;Insert Data Faktur Penjualan dgn Pemebeli BPR KARTASURA SARI BUMI;27/02/2013 09:26:10; di Nopend 56200;
968270724;Insert Data Faktur Penjualan dgn Pemebeli KSP KARYA JAYA;27/02/2013 09:27:31; di Nopend 56200;
975360036;Insert Data Faktur Penjualan dgn Pemebeli BTPN SUKABUMI;27/02/2013 09:28:30; di Nopend 43100;
968270724;Insert Data Faktur Penjualan dgn Pemebeli PT. Bank Bumi Arta. Tbk;27/02/2013 09:29:07; di Nopend 56200;
975360036;Ubah Data Faktur Penjualan 010.000-13.00003580;27/02/2013 09:29:19; di Nopend 43100 dengan id (33848);
;Insert data;27/02/2013 09:30:33; ();
975360036;Ubah Data Faktur Penjualan 010.000-13.00003580;27/02/2013 09:30:48; di Nopend 43100 dengan id (33848);
984393596;Insert Data Faktur Penjualan dgn Pemebeli Andi Khairul Makmur,S.Pd.;27/02/2013 09:31:12; di Nopend 92500;
975360036;Insert Data Faktur Penjualan dgn Pemebeli BHS BANK 1906 BANDUNG;27/02/2013 09:32:42; di Nopend 43100;
975360036;Insert Data Faktur Penjualan dgn Pemebeli BHS BANK CAB BOGOR;27/02/2013 09:34:29; di Nopend 43100;
984393596;Insert Data Faktur Penjualan dgn Pemebeli KSP PUNDI NEKA SOLUSI;27/02/2013 09:35:03; di Nopend 92500;
984393596;Ubah Data Faktur Penjualan 010.000-13.00003585;27/02/2013 09:35:36; di Nopend 92500 dengan id (33853);
975360036;Ubah Data Faktur Penjualan 010.000-13.00003584;27/02/2013 09:36:10; di Nopend 43100 dengan id (33852);
975360036;Insert Data Faktur Penjualan dgn Pemebeli PT CIMB NIAGA BANDUNG;27/02/2013 09:37:25; di Nopend 43100;
971310956;Terkait PendapatanPRIMKOPABRI;27/02/2013 09:39:53; di Nopend 58100;
989399370;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;27/02/2013 09:41:08; di Nopend 86300;
975360036;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Serba Usaha Bakti Pos;27/02/2013 09:44:06; di Nopend 43100;
;Insert data;27/02/2013 09:44:17; ();
989399370;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;27/02/2013 09:44:48; di Nopend 86300;
978365999;Terkait PendapatanPT ARTAJASA PEMBAYARAN ELEKTRONIS;27/02/2013 09:44:51; di Nopend 10009;
975360036;Insert Data Faktur Penjualan dgn Pemebeli PT. Bank Syariah Bukopin;27/02/2013 09:45:25; di Nopend 43100;
960191975;Insert Data Faktur Penjualan dgn Pemebeli KSU COPITEC;27/02/2013 09:45:31; di Nopend 42200;
978365999;Terkait PendapatanPT ARTAJASA PEMBAYARAN ELEKTRONIS;27/02/2013 09:46:10; di Nopend 10009;
984393596;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK TABUNGAN PENSIUNAN NASIONAL;27/02/2013 09:46:19; di Nopend 92500;
975360036;Insert Data Faktur Penjualan dgn Pemebeli KSU NASARI;27/02/2013 09:46:44; di Nopend 43100;
978365999;Terkait PendapatanPT ARTAJASA PEMBAYARAN ELEKTRONIS;27/02/2013 09:47:09; di Nopend 10009;
975360036;Insert Data Faktur Penjualan dgn Pemebeli KSU RIZKY ABADI;27/02/2013 09:48:00; di Nopend 43100;
978365999;Terkait PendapatanPT NUSA SURYA CIPTADANA;27/02/2013 09:48:30; di Nopend 10009;
;Insert data;27/02/2013 09:48:41; ();
989399370;Insert Data Faktur Penjualan dgn Pemebeli KSP NASARI KUPANG;27/02/2013 09:49:11; di Nopend 86300;
978365999;Terkait PendapatanPT NUSA SURYA CIPTADANA;27/02/2013 09:49:43; di Nopend 10009;
;Insert data;27/02/2013 09:49:46; ();
963234559;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Nusantara;27/02/2013 09:50:15; di Nopend 84100;
978365999;Terkait PendapatanPT NUSA SURYA CIPTADANA;27/02/2013 09:50:59; di Nopend 10009;
989399370;Insert Data Faktur Penjualan dgn Pemebeli PRIMKOPABRI;27/02/2013 09:51:35; di Nopend 86300;
975360036;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Simpan Pinjam Hobashita Global Mandiri/SIKOPAWI;27/02/2013 09:52:01; di Nopend 43100;
963234559;Insert Data Faktur Penjualan dgn Pemebeli KSP NASARI KUPANG;27/02/2013 09:52:27; di Nopend 84100;
