opr97000;Ubah Data Faktur Penjualan 040.000-12.00008424;23/11/2012 06:35:29; di Nopend 97000 dengan id (9719);
opr97000;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:45:51; di Nopend 97000;
opr123;Terkait BiayaHj Hana;23/11/2012 12:46:10; di Nopend 10005;
opr97600;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:46:52; di Nopend 97600;
opr98800;Terkait BiayaHj nana;23/11/2012 12:49:10; di Nopend 98800;
opr97000;Terkait BiayaHj Nana;23/11/2012 12:49:29; di Nopend 97000;
;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:49:31; di Nopend 98300;
opr98400;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:49:34; di Nopend 98400;
opr98100;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:50:13; di Nopend 98100;
opr97600;Terkait Biayahj. Hanna ;23/11/2012 12:50:24; di Nopend 97600;
opr99900;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:50:35; di Nopend 99900;
opr99000;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:51:08; di Nopend 99000;
;Terkait BiayaHJ Nana  ;23/11/2012 12:52:33; di Nopend 98300;
opr99000;Terkait BiayaHJ.HANA;23/11/2012 12:54:27; di Nopend 99000;
opr99900;Terkait BiayaHj Nana;23/11/2012 12:54:37; di Nopend 99900;
opr99600;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:54:45; di Nopend 99600;
opr97700;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:55:04; di Nopend 97700;
opr99600;Terkait BiayaPT DAPENSI DWIKARYA;23/11/2012 12:55:11; di Nopend 99600;
opr98400;Terkait Biayasewa mobil dinas;23/11/2012 12:56:12; di Nopend 98400;
opr97700;Terkait BiayaHj Nana;23/11/2012 12:57:17; di Nopend 97700;
opr98100;Terkait BiayaHaji Nana ;23/11/2012 12:57:45; di Nopend 98100;
opr97600;Terkait Biaya;23/11/2012 12:58:45; di Nopend 97600 dengan id (574);
opr97700;Terkait Daftarbuktipotong;23/11/2012 12:59:27; di Nopend  dengan id ();
opr99600;Terkait Biaya;23/11/2012 13:01:36; di Nopend 99600 dengan id (588);
;Ubah Status Verifikasi;23/11/2012 13:01:56; (565);
;Ubah Status Verifikasi;23/11/2012 13:01:57; (590);
;Ubah Status Verifikasi;23/11/2012 13:02:02; (570);
;Ubah Status Verifikasi;23/11/2012 13:02:08; (573);
;Ubah Status Verifikasi;23/11/2012 13:02:10; (587);
;Ubah Status Verifikasi;23/11/2012 13:02:13; (564);
;Ubah Status Verifikasi;23/11/2012 13:02:14; (562);
;Ubah Status Verifikasi;23/11/2012 13:02:15; (559);
;Ubah Status Verifikasi;23/11/2012 13:02:17; (578);
;Ubah Status Verifikasi;23/11/2012 13:02:19; (577);
;Ubah Status Verifikasi;23/11/2012 13:02:24; (589);
;Ubah Status Verifikasi;23/11/2012 13:02:24; (566);
;Ubah Status Verifikasi;23/11/2012 13:02:27; (583);
;Ubah Status Verifikasi;23/11/2012 13:02:32; (568);
;Ubah Status Verifikasi;23/11/2012 13:02:38; (571);
;Ubah Status Verifikasi;23/11/2012 13:02:39; (579);
;Ubah Status Verifikasi;23/11/2012 13:02:41; (575);
;Ubah Status Verifikasi;23/11/2012 13:02:45; (591);
;Ubah Status Verifikasi;23/11/2012 13:02:49; (563);
;Ubah Status Verifikasi;23/11/2012 13:02:50; (574);
;Ubah Status Verifikasi;23/11/2012 13:02:53; (575);
;Ubah Status Verifikasi;23/11/2012 13:02:56; (580);
