972332303;Pembatalan Bukti Potong 000001/40000/0113;15/02/2013 08:45:36; id : (647);
;Ubah Status Verifikasi;15/02/2013 09:14:25; (32109);
;Ubah Status Verifikasi;15/02/2013 09:14:35; (32131);
;Ubah Status Verifikasi;15/02/2013 09:14:39; (32130);
;Ubah Status Verifikasi;15/02/2013 09:14:44; (32127);
;Ubah Status Verifikasi;15/02/2013 09:15:11; (31963);
;Ubah Status Verifikasi;15/02/2013 09:15:52; (31965);
;Ubah Status Verifikasi;15/02/2013 09:15:57; (31974);
;Ubah Status Verifikasi;15/02/2013 09:16:02; (31972);
;Ubah Status Verifikasi;15/02/2013 09:16:08; (31973);
;Ubah Status Verifikasi;15/02/2013 09:16:12; (31966);
;Ubah Status Verifikasi;15/02/2013 09:16:16; (31969);
;Ubah Status Verifikasi;15/02/2013 09:16:21; (31970);
;Ubah Status Verifikasi;15/02/2013 09:16:25; (31968);
;Ubah Status Verifikasi;15/02/2013 09:16:29; (31971);
;Ubah Status Verifikasi;15/02/2013 09:16:33; (31967);
;Ubah Status Verifikasi;15/02/2013 09:17:09; (31499);
;Ubah Status Verifikasi;15/02/2013 09:19:08; (31504);
;Ubah Status Verifikasi;15/02/2013 09:19:12; (32083);
;Ubah Status Verifikasi;15/02/2013 09:19:18; (32081);
;Ubah Status Verifikasi;15/02/2013 09:19:22; (32078);
;Ubah Status Verifikasi;15/02/2013 09:19:27; (31539);
;Ubah Status Verifikasi;15/02/2013 09:19:31; (31528);
;Ubah Status Verifikasi;15/02/2013 09:19:41; (31529);
;Ubah Status Verifikasi;15/02/2013 09:19:53; (31530);
;Ubah Status Verifikasi;15/02/2013 09:19:58; (31536);
;Ubah Status Verifikasi;15/02/2013 09:20:04; (31532);
;Ubah Status Verifikasi;15/02/2013 09:20:09; (31535);
;Ubah Status Verifikasi;15/02/2013 09:20:13; (31534);
;Ubah Status Verifikasi;15/02/2013 09:20:48; (31880);
;Ubah Status Verifikasi;15/02/2013 09:20:51; (31892);
;Ubah Status Verifikasi;15/02/2013 09:20:55; (31885);
;Ubah Status Verifikasi;15/02/2013 09:20:59; (31890);
;Ubah Status Verifikasi;15/02/2013 09:21:04; (31882);
964195665;Entry bukti Lapor SPT;15/02/2013 09:21:06; di Nopend 12000 dengan id ();
;Ubah Status Verifikasi;15/02/2013 09:21:07; (31891);
;Ubah Status Verifikasi;15/02/2013 09:21:12; (31888);
;Ubah Status Verifikasi;15/02/2013 09:22:43; (32631);
;Ubah Status Verifikasi;15/02/2013 09:22:51; (30605);
;Ubah Status Verifikasi;15/02/2013 09:23:00; (32628);
;Ubah Status Verifikasi;15/02/2013 09:23:12; (30661);
;Ubah Status Verifikasi;15/02/2013 09:23:29; (30664);
;Ubah Status Verifikasi;15/02/2013 09:23:36; (30942);
;Ubah Status Verifikasi;15/02/2013 09:23:44; (30702);
;Ubah Status Verifikasi;15/02/2013 09:24:53; (30554);
;Ubah Status Verifikasi;15/02/2013 09:24:57; (30556);
;Ubah Status Verifikasi;15/02/2013 09:25:01; (30557);
;Ubah Status Verifikasi;15/02/2013 09:25:12; (32233);
;Ubah Status Verifikasi;15/02/2013 09:25:16; (32239);
;Ubah Status Verifikasi;15/02/2013 09:25:20; (32246);
;Ubah Status Verifikasi;15/02/2013 09:25:23; (32250);
972357828;Ubah Data Faktur Penjualan 010.000-13.00002186;15/02/2013 09:31:36; di Nopend 38000 dengan id (32453);
;Ubah Status Verifikasi;15/02/2013 09:32:33; (32420);
;Ubah Status Verifikasi;15/02/2013 09:32:39; (32423);
;Ubah Status Verifikasi;15/02/2013 09:32:43; (32424);
;Ubah Status Verifikasi;15/02/2013 09:32:48; (32425);
972357828;Ubah Data Faktur Penjualan 010.000-13.00002187;15/02/2013 09:33:01; di Nopend 38000 dengan id (32454);
972357828;Ubah Data Faktur Penjualan 010.000-13.00002189;15/02/2013 09:33:06; di Nopend 38000 dengan id (32456);
972357828;Ubah Data Faktur Penjualan 010.000-13.00002190;15/02/2013 09:33:11; di Nopend 38000 dengan id (32457);
972357828;Ubah Data Faktur Penjualan 010.000-13.00002191;15/02/2013 09:33:16; di Nopend 38000 dengan id (32458);
;Ubah Status Verifikasi;15/02/2013 09:44:18; (25172);
;Ubah Status Verifikasi;15/02/2013 09:44:35; (25215);
;Ubah Status Verifikasi;15/02/2013 09:44:37; (25214);
;Ubah Status Verifikasi;15/02/2013 09:44:41; (25213);
;Ubah Status Verifikasi;15/02/2013 09:44:47; (25212);
;Ubah Status Verifikasi;15/02/2013 09:44:51; (25211);
;Ubah Status Verifikasi;15/02/2013 09:44:55; (25210);
;Ubah Status Verifikasi;15/02/2013 09:45:02; (25209);
;Ubah Status Verifikasi;15/02/2013 09:45:06; (25208);
;Ubah Status Verifikasi;15/02/2013 09:45:52; (25207);
;Ubah Status Verifikasi;15/02/2013 09:46:09; (25206);
;Ubah Status Verifikasi;15/02/2013 09:46:18; (25205);
;Ubah Status Verifikasi;15/02/2013 09:49:36; (25204);
;Ubah Status Verifikasi;15/02/2013 09:49:40; (25203);
;Ubah Status Verifikasi;15/02/2013 09:49:44; (25202);
;Ubah Status Verifikasi;15/02/2013 09:49:49; (25201);
;Ubah Status Verifikasi;15/02/2013 09:50:11; (25200);
;Ubah Status Verifikasi;15/02/2013 09:50:18; (25199);
;Ubah Status Verifikasi;15/02/2013 09:50:33; (25198);
;Ubah Status Verifikasi;15/02/2013 09:50:42; (25191);
;Ubah Status Verifikasi;15/02/2013 09:50:54; (25197);
;Ubah Status Verifikasi;15/02/2013 09:51:55; (25196);
;Ubah Status Verifikasi;15/02/2013 09:53:37; (25195);
;Ubah Status Verifikasi;15/02/2013 09:53:43; (25194);
;Ubah Status Verifikasi;15/02/2013 09:53:51; (25193);
;Ubah Status Verifikasi;15/02/2013 09:53:55; (25192);
;Ubah Status Verifikasi;15/02/2013 09:53:59; (25190);
;Ubah Status Verifikasi;15/02/2013 09:54:02; (25189);
;Ubah Status Verifikasi;15/02/2013 09:54:10; (25188);
;Ubah Status Verifikasi;15/02/2013 09:54:19; (25173);
;Ubah Status Verifikasi;15/02/2013 09:54:52; (25174);
;Ubah Status Verifikasi;15/02/2013 09:55:01; (25175);
;Ubah Status Verifikasi;15/02/2013 09:55:12; (25178);
;Ubah Status Verifikasi;15/02/2013 09:55:21; (25176);
;Ubah Status Verifikasi;15/02/2013 09:55:52; (25177);
;Ubah Status Verifikasi;15/02/2013 09:56:01; (25181);
;Ubah Status Verifikasi;15/02/2013 09:56:10; (25179);
;Ubah data;15/02/2013 09:58:57; (10807);
;Ubah data;15/02/2013 10:01:10; (10772);
;Ubah Status Verifikasi;15/02/2013 10:01:19; (32453);
;Ubah Status Verifikasi;15/02/2013 10:01:23; (32454);
;Ubah Status Verifikasi;15/02/2013 10:01:27; (25180);
;Ubah Status Verifikasi;15/02/2013 10:01:33; (32456);
;Ubah Status Verifikasi;15/02/2013 10:01:35; (25182);
;Ubah Status Verifikasi;15/02/2013 10:01:40; (32456);
;Ubah Status Verifikasi;15/02/2013 10:01:45; (25183);
;Hapus data Pembelian;15/02/2013 10:01:49; (10770);
;Ubah Status Verifikasi;15/02/2013 10:01:50; (32457);
;Ubah Status Verifikasi;15/02/2013 10:01:55; (25184);
;Ubah Status Verifikasi;15/02/2013 10:01:59; (32458);
;Ubah Status Verifikasi;15/02/2013 10:02:07; (25185);
;Ubah Status Verifikasi;15/02/2013 10:02:15; (25186);
;Ubah Status Verifikasi;15/02/2013 10:02:24; (25187);
;Ubah Status Verifikasi;15/02/2013 10:05:40; (26389);
;Ubah data Gunggung;15/02/2013 10:10:56; ();
;Ubah data Pkp AW Hutang Pajak;15/02/2013 10:11:52; (1510);
;Ubah Status Verifikasi;15/02/2013 10:13:13; (19800);
;Ubah Status Verifikasi;15/02/2013 10:13:30; (18994);
;Ubah Status Verifikasi;15/02/2013 10:13:40; (18995);
;Ubah Status Verifikasi;15/02/2013 10:13:51; (18999);
;Ubah Status Verifikasi;15/02/2013 10:13:58; (19003);
;Ubah Status Verifikasi;15/02/2013 10:14:08; (19005);
;Ubah Status Verifikasi;15/02/2013 10:14:19; (19008);
;Ubah Status Verifikasi;15/02/2013 10:14:48; (20152);
;Ubah Status Verifikasi;15/02/2013 10:14:56; (20063);
;Ubah Status Verifikasi;15/02/2013 10:15:01; (19037);
;Ubah Status Verifikasi;15/02/2013 10:15:05; (19036);
;Ubah Status Verifikasi;15/02/2013 10:15:09; (19035);
;Ubah Status Verifikasi;15/02/2013 10:15:14; (19034);
;Ubah Status Verifikasi;15/02/2013 10:15:19; (19033);
;Ubah Status Verifikasi;15/02/2013 10:15:23; (19032);
;Ubah Status Verifikasi;15/02/2013 10:15:28; (19031);
;Ubah Status Verifikasi;15/02/2013 10:15:33; (19030);
;Ubah Status Verifikasi;15/02/2013 10:15:37; (19029);
;Ubah Status Verifikasi;15/02/2013 10:15:42; (19028);
;Ubah Status Verifikasi;15/02/2013 10:15:52; (19027);
;Ubah data;15/02/2013 10:16:10; (10807);
;Ubah data;15/02/2013 10:16:53; (10772);
;Ubah Status Verifikasi;15/02/2013 10:18:23; (19026);
;Ubah Status Verifikasi;15/02/2013 10:18:28; (19025);
;Ubah Status Verifikasi;15/02/2013 10:18:31; (19024);
;Ubah Status Verifikasi;15/02/2013 10:18:36; (19023);
;Ubah Status Verifikasi;15/02/2013 10:18:41; (19022);
;Ubah Status Verifikasi;15/02/2013 10:18:45; (19021);
;Ubah Status Verifikasi;15/02/2013 10:18:49; (19020);
;Ubah Status Verifikasi;15/02/2013 10:18:53; (19019);
;Ubah Status Verifikasi;15/02/2013 10:18:57; (19018);
;Ubah Status Verifikasi;15/02/2013 10:19:02; (19017);
;Ubah Status Verifikasi;15/02/2013 10:19:15; (20706);
;Ubah Status Verifikasi;15/02/2013 10:19:24; (20703);
;Ubah Status Verifikasi;15/02/2013 10:19:27; (20701);
;Ubah Status Verifikasi;15/02/2013 10:19:32; (20697);
;Ubah Status Verifikasi;15/02/2013 10:19:40; (20692);
;Ubah Status Verifikasi;15/02/2013 10:19:56; (25905);
;Ubah Status Verifikasi;15/02/2013 10:20:07; (25914);
;Ubah Status Verifikasi;15/02/2013 10:20:13; (25911);
;Ubah Status Verifikasi;15/02/2013 10:20:18; (25909);
;Ubah Status Verifikasi;15/02/2013 10:20:39; (25084);
;Ubah Status Verifikasi;15/02/2013 10:20:44; (25085);
;Ubah Status Verifikasi;15/02/2013 10:20:50; (25089);
;Ubah Status Verifikasi;15/02/2013 10:21:01; (25090);
;Ubah Status Verifikasi;15/02/2013 10:23:28; (26389);
;Ubah Status Verifikasi;15/02/2013 10:28:33; (25093);
;Ubah Status Verifikasi;15/02/2013 10:28:42; (25095);
;Ubah Status Verifikasi;15/02/2013 10:28:53; (25097);
;Ubah Status Verifikasi;15/02/2013 10:29:04; (25098);
;Ubah Status Verifikasi;15/02/2013 10:29:17; (25104);
;Ubah Status Verifikasi;15/02/2013 10:29:28; (25114);
;Ubah Status Verifikasi;15/02/2013 10:29:39; (25118);
;Ubah Status Verifikasi;15/02/2013 10:29:47; (25123);
;Ubah Status Verifikasi;15/02/2013 10:29:54; (25127);
;Ubah Status Verifikasi;15/02/2013 10:29:58; (25126);
;Ubah Status Verifikasi;15/02/2013 10:30:02; (25125);
;Ubah Status Verifikasi;15/02/2013 10:30:07; (25124);
;Ubah Status Verifikasi;15/02/2013 10:30:10; (25122);
;Ubah Status Verifikasi;15/02/2013 10:30:15; (25121);
;Ubah Status Verifikasi;15/02/2013 10:30:19; (25120);
;Ubah Status Verifikasi;15/02/2013 10:30:23; (25119);
;Ubah Status Verifikasi;15/02/2013 10:30:28; (25117);
;Ubah Status Verifikasi;15/02/2013 10:30:32; (25116);
;Ubah Status Verifikasi;15/02/2013 10:30:36; (25115);
;Ubah Status Verifikasi;15/02/2013 10:30:41; (25113);
