FP-1;Hapus data user;13/11/2012 07:56:30; (hapus);
;Insert data;13/11/2012 09:11:37; ();
;Insert data;13/11/2012 09:11:45; ();
;Insert data;13/11/2012 09:13:23; ();
;Insert data;13/11/2012 09:13:28; ();
;Insert data;13/11/2012 09:13:59; ();
;Insert data;13/11/2012 09:14:34; ();
;Ubah data;13/11/2012 09:14:50; (2709);
;Insert data;13/11/2012 09:15:11; ();
;Insert data;13/11/2012 09:15:31; ();
;Insert data;13/11/2012 09:16:04; ();
;Insert data;13/11/2012 09:16:24; ();
;Insert data;13/11/2012 09:16:25; ();
;Insert data;13/11/2012 09:16:26; ();
;Insert data;13/11/2012 09:16:54; ();
;Hapus data Pembelian;13/11/2012 09:16:58; (2688);
;Insert data;13/11/2012 09:17:19; ();
;Insert data;13/11/2012 09:17:40; ();
;Ubah data;13/11/2012 09:17:48; (2540);
;Insert data;13/11/2012 09:18:36; ();
;Insert data;13/11/2012 09:19:13; ();
;Insert data;13/11/2012 09:19:24; ();
;Insert data;13/11/2012 09:19:24; ();
;Insert data;13/11/2012 09:19:37; ();
;Insert data;13/11/2012 09:20:09; ();
;Insert data;13/11/2012 09:21:40; ();
;Insert data;13/11/2012 09:22:25; ();
;Insert data;13/11/2012 09:22:37; ();
;Insert data;13/11/2012 09:22:53; ();
;Ubah data;13/11/2012 09:22:57; (2709);
;Ubah data;13/11/2012 09:23:02; (2742);
;Insert data;13/11/2012 09:23:20; ();
;Insert data;13/11/2012 09:23:30; ();
;Hapus data Pembelian;13/11/2012 09:23:30; (2696);
;Insert data;13/11/2012 09:23:32; ();
;Insert data;13/11/2012 09:23:33; ();
;Insert data;13/11/2012 09:23:33; ();
;Insert data;13/11/2012 09:24:10; ();
;Insert data;13/11/2012 09:24:13; ();
;Ubah data;13/11/2012 09:24:28; (2745);
;Ubah data;13/11/2012 09:24:33; (2750);
;Insert data;13/11/2012 09:24:33; ();
;Insert data;13/11/2012 09:24:37; ();
;Insert data;13/11/2012 09:24:46; ();
;Insert data;13/11/2012 09:25:05; ();
;Insert data;13/11/2012 09:25:21; ();
;Insert data;13/11/2012 09:25:37; ();
;Insert data;13/11/2012 09:25:49; ();
;Insert data;13/11/2012 09:26:07; ();
;Insert data;13/11/2012 09:26:20; ();
;Insert data;13/11/2012 09:27:24; ();
;Insert data;13/11/2012 09:27:30; ();
;Insert data;13/11/2012 09:27:53; ();
;Insert data;13/11/2012 09:28:13; ();
;Insert data;13/11/2012 09:28:18; ();
;Insert data;13/11/2012 09:28:23; ();
;Insert data;13/11/2012 09:28:52; ();
;Insert data;13/11/2012 09:28:54; ();
;Ubah data;13/11/2012 09:28:55; (2761);
;Insert data;13/11/2012 09:28:56; ();
;Insert data;13/11/2012 09:28:57; ();
;Ubah data;13/11/2012 09:29:39; (2723);
;Insert data;13/11/2012 09:31:50; ();
;Insert data;13/11/2012 09:32:28; ();
;Insert data;13/11/2012 09:33:55; ();
;Insert data;13/11/2012 09:34:25; ();
;Insert data;13/11/2012 09:34:56; ();
;Insert data;13/11/2012 09:35:20; ();
;Insert data;13/11/2012 09:36:09; ();
;Ubah data Gunggung;13/11/2012 09:36:12; ();
;Ubah data Gunggung;13/11/2012 09:36:41; ();
;Insert data;13/11/2012 09:36:52; ();
;Ubah data Gunggung;13/11/2012 09:37:09; ();
opr61300;Ubah Data Faktur Penjualan 040.000-12.00008026;13/11/2012 09:37:34; di Nopend 61300 dengan id (9321);
;Insert data;13/11/2012 09:37:50; ();
;Ubah data Gunggung;13/11/2012 09:38:04; ();
;Insert data;13/11/2012 09:38:21; ();
opr61300;Ubah Data Faktur Penjualan 040.000-12.00008110;13/11/2012 09:38:29; di Nopend 61300 dengan id (9405);
;Insert data;13/11/2012 09:38:57; ();
opr61300;Ubah Data Faktur Penjualan 040.000-12.00008110;13/11/2012 09:38:58; di Nopend 61300 dengan id (9405);
opr61300;Ubah Data Faktur Penjualan 040.000-12.00008139;13/11/2012 09:39:34; di Nopend 61300 dengan id (9434);
;Ubah data Gunggung;13/11/2012 09:39:43; ();
;Ubah data Gunggung;13/11/2012 09:40:43; ();
;Ubah data Gunggung;13/11/2012 09:42:10; ();
;Insert data;13/11/2012 09:42:28; ();
;Insert data;13/11/2012 09:42:29; ();
;Ubah data Gunggung;13/11/2012 09:42:53; ();
;Ubah data Gunggung;13/11/2012 09:43:13; ();
;Ubah data Gunggung;13/11/2012 09:43:44; ();
;Insert data;13/11/2012 09:43:57; ();
;Ubah data Gunggung;13/11/2012 09:43:58; ();
;Insert data;13/11/2012 09:44:25; ();
;Ubah data Gunggung;13/11/2012 09:44:38; ();
;Ubah data Gunggung;13/11/2012 09:44:53; ();
;Insert data;13/11/2012 09:45:02; ();
;Ubah data Gunggung;13/11/2012 09:45:08; ();
;Ubah data Gunggung;13/11/2012 09:45:28; ();
;Ubah data Gunggung;13/11/2012 09:45:32; ();
;Insert data;13/11/2012 09:45:40; ();
;Insert data;13/11/2012 09:45:47; ();
;Insert data;13/11/2012 09:45:51; ();
;Ubah data Gunggung;13/11/2012 09:46:02; ();
;Ubah data Gunggung;13/11/2012 09:46:05; ();
;Insert data;13/11/2012 09:46:09; ();
;Insert data;13/11/2012 09:46:19; ();
;Insert data;13/11/2012 09:46:53; ();
;Insert data;13/11/2012 09:46:58; ();
;Insert data;13/11/2012 09:47:01; ();
;Insert data;13/11/2012 09:47:01; ();
;Ubah data Gunggung;13/11/2012 09:47:12; ();
;Insert data;13/11/2012 09:47:27; ();
;Ubah data Gunggung;13/11/2012 09:47:33; ();
;Insert data;13/11/2012 09:47:37; ();
;Ubah data Gunggung;13/11/2012 09:47:39; ();
;Insert data;13/11/2012 09:47:59; ();
;Ubah data Gunggung;13/11/2012 09:48:12; ();
;Ubah data Gunggung;13/11/2012 09:48:13; ();
;Ubah data Gunggung;13/11/2012 09:48:14; ();
;Ubah data Gunggung;13/11/2012 09:48:16; ();
;Ubah data Gunggung;13/11/2012 09:48:16; ();
;Ubah data Gunggung;13/11/2012 09:48:33; ();
;Ubah data Gunggung;13/11/2012 09:48:56; ();
;Ubah data Gunggung;13/11/2012 09:48:57; ();
;Ubah data Gunggung;13/11/2012 09:48:58; ();
;Ubah data Gunggung;13/11/2012 09:49:27; ();
;Ubah data Gunggung;13/11/2012 09:49:39; ();
;Ubah data Gunggung;13/11/2012 09:49:41; ();
;Ubah data Gunggung;13/11/2012 09:49:48; ();
;Insert data;13/11/2012 09:50:00; ();
;Ubah data Gunggung;13/11/2012 09:50:02; ();
;Ubah data Gunggung;13/11/2012 09:50:21; ();
;Ubah data Gunggung;13/11/2012 09:50:33; ();
;Ubah data Gunggung;13/11/2012 09:50:35; ();
;Insert data;13/11/2012 09:51:03; ();
;Ubah data Gunggung;13/11/2012 09:51:18; ();
;Ubah data Gunggung;13/11/2012 09:51:21; ();
;Ubah data Gunggung;13/11/2012 09:51:25; ();
;Ubah data Gunggung;13/11/2012 09:52:12; ();
;Ubah data Gunggung;13/11/2012 09:52:42; ();
;Ubah data Gunggung;13/11/2012 09:53:39; ();
;Ubah data Gunggung;13/11/2012 09:54:21; ();
;Ubah data Gunggung;13/11/2012 09:54:50; ();
;Insert data;13/11/2012 09:55:05; ();
;Ubah data Gunggung;13/11/2012 09:56:47; ();
;Ubah data Gunggung;13/11/2012 09:57:12; ();
;Ubah data Gunggung;13/11/2012 09:57:30; ();
;Ubah data Gunggung;13/11/2012 09:57:58; ();
;Insert data;13/11/2012 09:59:00; ();
opr65100;Insert Data Faktur Penjualan dgn Pemebeli PT DWIPA KHARISMA MITRA;13/11/2012 10:02:52; di Nopend 65100;
;Insert data;13/11/2012 10:03:45; ();
opr67100;Ubah Data Faktur Penjualan 010.000-12.00008055;13/11/2012 10:04:26; di Nopend 67100 dengan id (9350);
;Ubah data Gunggung;13/11/2012 10:05:46; ();
;Ubah data Gunggung;13/11/2012 10:06:01; ();
;Ubah data Gunggung;13/11/2012 10:08:12; ();
opr65100;Insert Data Faktur Penjualan dgn Pemebeli Departemen Pendidikan Nasional;13/11/2012 10:09:21; di Nopend 65100;
;Ubah data Gunggung;13/11/2012 10:09:53; ();
