971341679;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:39:56; di Nopend 17400;
oprspi;Ubah Data Faktur Penjualan 020.000-12.00008091;20/11/2012 08:40:01; di Nopend 80000 dengan id (9386);
973331689;Hapus data item faktur pajak penjualan;20/11/2012 08:40:21; (9577);
966288750;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Harapan Sejahtera Sawangan 16500;20/11/2012 08:40:27; di Nopend 16500;
973351743;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI ES GE EF;20/11/2012 08:40:59; di Nopend 15400;
972346521;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:41:24; di Nopend 10900;
973331689;Ubah Data Faktur Penjualan 040.000-12.00008282;20/11/2012 08:41:35; di Nopend 10200 dengan id (9577);
967355862;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:41:40; di Nopend 10000;
972332078;Ubah Data Faktur Penjualan 040.000-12.00008293;20/11/2012 08:42:24; di Nopend 13000 dengan id (9588);
966285657;Ubah Data Faktur Penjualan 040.000-12.00008310;20/11/2012 08:42:31; di Nopend 12700 dengan id (9605);
973331689;Hapus data item faktur pajak penjualan;20/11/2012 08:42:34; (9577);
972362400;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:42:46; di Nopend 19000;
973331689;Pembatalan Faktur Pajak Keluaran 040.000-12.00008282;20/11/2012 08:42:46; id : (9577);
972335780;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:42:46; di Nopend 11100;
967355862;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Ria;20/11/2012 08:42:47; di Nopend 10000;
968318344;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:42:49; di Nopend 17000;
971351296;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:43:06; di Nopend 16000;
966288750;Ubah Data Faktur Penjualan 040.000-12.00008317;20/11/2012 08:43:17; di Nopend 16500 dengan id (9612);
974358368;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:43:17; di Nopend 14000;
966318389;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI ES GE EF;20/11/2012 08:43:17; di Nopend 42300;
oprspi;Ubah Data Faktur Penjualan 040.000-12.00008115;20/11/2012 08:43:22; di Nopend 80000 dengan id (9410);
973340551;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:43:42; di Nopend 13300;
973331689;Ubah Data Faktur Penjualan 040.000-12.00008282;20/11/2012 08:43:44; di Nopend 10200 dengan id (9577);
960191975;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:43:50; di Nopend 42200;
964195665;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:43:57; di Nopend 12000;
973351743;Ubah Data Faktur Penjualan 010.000-12.00008318;20/11/2012 08:44:12; di Nopend 15400 dengan id (9613);
968329019;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:44:17; di Nopend 18000;
973331689;Ubah Data Faktur Penjualan 010.000-12.00008289;20/11/2012 08:44:19; di Nopend 10200 dengan id (9584);
969332427;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI ES GE EF;20/11/2012 08:44:46; di Nopend 42100;
973331689;Ubah Data Faktur Penjualan 010.000-12.00008289;20/11/2012 08:44:54; di Nopend 10200 dengan id (9584);
967355862;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:44:58; di Nopend 10000;
973351743;Ubah Data Faktur Penjualan 040.000-12.00008318;20/11/2012 08:45:34; di Nopend 15400 dengan id (9613);
969332427;Ubah Data Faktur Penjualan 040.000-12.00008332;20/11/2012 08:45:40; di Nopend 42100 dengan id (9627);
966257637;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:46:44; di Nopend 15000;
968314995;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:46:44; di Nopend 16900;
972332078;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:49:31; di Nopend 13000;
973331689;Insert Data Faktur Penjualan dgn Pemebeli Departemen Pendidikan Nasional;20/11/2012 08:49:34; di Nopend 10200;
966318389;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI ES GE EF;20/11/2012 08:49:37; di Nopend 42300;
973351743;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI ES GE EF;20/11/2012 08:49:56; di Nopend 15400;
971365283;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:50:19; di Nopend 10009;
966285657;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI ES GE EF;20/11/2012 08:50:24; di Nopend 12700;
oprspi;Ubah Data Faktur Penjualan 040.000-12.00008152;20/11/2012 08:50:25; di Nopend 80000 dengan id (9447);
971341679;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:50:26; di Nopend 17400;
969332427;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI ES GE EF;20/11/2012 08:50:29; di Nopend 42100;
967355862;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:50:34; di Nopend 10000;
972335780;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:50:35; di Nopend 11100;
966288750;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Harapan Sejahtera Sawangan 16500;20/11/2012 08:50:37; di Nopend 16500;
968314995;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Pura;20/11/2012 08:50:37; di Nopend 16900;
