964357112;Insert Data Faktur Penjualan dgn Pemebeli PT BANK MANDIRI (PERSERO) TBK;14/01/2013 11:45:46; di Nopend 11000;
;Insert data pegawai;14/01/2013 11:45:57; ();
;Ubah data pegawai;14/01/2013 11:46:10; (36);
FP-1;Ubah data user;14/01/2013 11:46:45;983390393 ();
FP-1;Insert data user;14/01/2013 11:47:31;986391920 ();
;Ubah data;14/01/2013 11:48:30; (22);
;Insert data pegawai;14/01/2013 11:50:31; ();
FP-1;Ubah data user;14/01/2013 11:51:06;968290528 ();
FP-1;Insert data user;14/01/2013 11:57:36;972331920 ();
;Ubah data;14/01/2013 11:58:08; (463);
;Ubah data pegawai;14/01/2013 12:03:30; (346);
;Insert data pegawai;14/01/2013 12:04:34; ();
FP-1;Insert data user;14/01/2013 12:05:15;984391538 ();
;Ubah data;14/01/2013 12:05:43; (445);
987392347;Insert Data Faktur Penjualan dgn Pemebeli PT PERTAMINA (PERSERO);14/01/2013 13:46:21; di Nopend 76100;
987392347;Ubah Data Faktur Penjualan 040.000-13.00000039;14/01/2013 13:48:22; di Nopend 76100 dengan id (30304);
;Insert data pegawai;14/01/2013 13:54:31; ();
FP-1;Ubah data user;14/01/2013 13:57:45;984392294 ();
FP-1;Insert data user;14/01/2013 13:58:08;967241200 ();
;Ubah data;14/01/2013 13:58:56; (155);
;Insert data pegawai;14/01/2013 14:02:59; ();
;Ubah data pegawai;14/01/2013 14:03:18; (176);
FP-1;Ubah data user;14/01/2013 14:04:11;973346735 ();
FP-1;Insert data user;14/01/2013 14:04:47;962211023 ();
;Ubah data;14/01/2013 14:05:08; (157);
;Ubah Status Verifikasi;14/01/2013 15:21:28; (29752);
;Ubah Status Verifikasi;14/01/2013 15:21:45; (29754);
;Ubah Status Verifikasi;14/01/2013 15:22:04; (29755);
;Ubah Status Verifikasi;14/01/2013 15:22:22; (29758);
;Ubah Status Verifikasi;14/01/2013 15:22:50; (29760);
;Ubah Status Verifikasi;14/01/2013 15:23:10; (29762);
;Ubah Status Verifikasi;14/01/2013 15:23:39; (29763);
;Ubah Status Verifikasi;14/01/2013 15:24:09; (29764);
;Ubah Status Verifikasi;14/01/2013 15:24:40; (29766);
;Ubah Status Verifikasi;14/01/2013 15:24:53; (29767);
;Ubah Status Verifikasi;14/01/2013 15:25:13; (29771);
;Ubah Status Verifikasi;14/01/2013 15:25:21; (29772);
;Ubah Status Verifikasi;14/01/2013 15:25:37; (29773);
;Ubah Status Verifikasi;14/01/2013 15:25:56; (29774);
;Ubah Status Verifikasi;14/01/2013 15:26:38; (29775);
;Ubah Status Verifikasi;14/01/2013 15:26:56; (29776);
;Ubah Status Verifikasi;14/01/2013 15:27:19; (29777);
;Ubah Status Verifikasi;14/01/2013 15:27:47; (29778);
;Ubah Status Verifikasi;14/01/2013 15:28:23; (29779);
;Ubah Status Verifikasi;14/01/2013 15:28:47; (29780);
;Ubah Status Verifikasi;14/01/2013 15:29:07; (29783);
;Ubah Status Verifikasi;14/01/2013 15:30:24; (29789);
;Ubah Status Verifikasi;14/01/2013 15:31:30; (29791);
;Ubah Status Verifikasi;14/01/2013 15:32:36; (29792);
;Ubah Status Verifikasi;14/01/2013 15:32:44; (29794);
;Ubah Status Verifikasi;14/01/2013 15:33:03; (29877);
;Ubah Status Verifikasi;14/01/2013 15:33:31; (29879);
;Ubah Status Verifikasi;14/01/2013 15:33:46; (29881);
;Ubah Status Verifikasi;14/01/2013 15:34:03; (29882);
;Ubah Status Verifikasi;14/01/2013 15:34:19; (29883);
;Ubah Status Verifikasi;14/01/2013 15:34:38; (29884);
;Ubah Status Verifikasi;14/01/2013 15:44:32; (30220);
;Ubah Status Verifikasi;14/01/2013 15:44:54; (30221);
;Ubah Status Verifikasi;14/01/2013 15:45:04; (30222);
;Ubah Status Verifikasi;14/01/2013 15:45:22; (30223);
;Ubah Status Verifikasi;14/01/2013 15:46:10; (30224);
;Ubah Status Verifikasi;14/01/2013 15:46:30; (30225);
;Ubah Status Verifikasi;14/01/2013 15:46:56; (30226);
;Ubah Status Verifikasi;14/01/2013 15:47:20; (30227);
;Ubah Status Verifikasi;14/01/2013 15:47:42; (30228);
;Ubah Status Verifikasi;14/01/2013 15:47:57; (30229);
;Ubah Status Verifikasi;14/01/2013 15:48:16; (30230);
;Ubah Status Verifikasi;14/01/2013 15:48:35; (30231);
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:04:54; di Nopend 12000;
964195665;Insert Data Faktur Penjualan dgn Pemebeli PT PRUDENTIAL LIFE ASSURANCE;14/01/2013 17:07:00; di Nopend 12000;
